Energy,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11
358.284485,6,0,0,0,0,0,0,1,6,4,0
374.249248,6,0,0,0,0,0,0,0,7,7,0
375.106920,3,0,0,0,0,0,0,1,7,7,0
383.318487,5,0,0,0,0,0,0,0,6,3,0
383.977520,2,0,0,0,0,0,0,1,6,3,1
401.647876,3,0,0,0,0,0,0,0,6,2,0
402.277780,6,0,0,0,0,0,0,1,6,2,0
412.624357,6,0,0,0,0,0,0,0,6,1,0
413.237820,3,0,0,0,0,0,0,1,6,1,0
416.887796,5,0,0,0,0,0,0,1,6,0,0
422.458302,2,0,0,0,0,0,0,0,7,6,1
423.222976,5,0,0,0,0,0,0,1,7,6,0
463.013213,6,0,0,0,0,0,0,0,7,5,0
463.707156,3,0,0,0,0,0,0,1,7,5,0
477.264222,3,0,0,0,0,0,0,0,8,8,0
478.149089,6,0,0,0,0,0,0,1,8,8,0
496.035087,3,0,0,0,0,0,0,0,7,4,0
496.676127,6,0,0,0,0,0,0,1,7,4,0
521.622000,5,0,0,0,0,0,0,0,7,3,0
522.222944,2,0,0,0,0,0,0,1,7,3,1
532.894336,6,0,0,0,0,0,0,0,8,7,0
533.669135,3,0,0,0,0,0,0,1,8,7,0
539.844961,3,0,0,0,0,0,0,0,7,2,0
540.421686,6,0,0,0,0,0,0,1,7,2,0
550.758660,6,0,0,0,0,0,0,0,7,1,0
551.320355,3,0,0,0,0,0,0,1,7,1,0
554.393125,2,0,0,0,0,0,0,0,7,0,1
580.779822,2,0,0,0,0,0,0,0,8,6,1
581.470895,5,0,0,0,0,0,0,1,8,6,0
592.587251,5,0,0,0,0,0,0,0,9,9,0
593.503765,2,0,0,0,0,0,0,1,9,9,1
621.065634,6,0,0,0,0,0,0,0,8,5,0
621.693003,3,0,0,0,0,0,0,1,8,5,0
653.870627,3,0,0,0,0,0,0,0,8,4,0
654.450285,6,0,0,0,0,0,0,1,8,4,0
655.646739,3,0,0,0,0,0,0,0,9,8,0
656.435817,6,0,0,0,0,0,0,1,9,8,0
679.287979,5,0,0,0,0,0,0,0,8,3,0
679.836776,2,0,0,0,0,0,0,1,8,3,1
697.395346,3,0,0,0,0,0,0,0,8,2,0
697.917001,6,0,0,0,0,0,0,1,8,2,0
708.238506,6,0,0,0,0,0,0,0,8,1,0
708.746601,3,0,0,0,0,0,0,1,8,1,0
710.856576,6,0,0,0,0,0,0,0,9,7,0
711.548199,3,0,0,0,0,0,0,1,9,7,0
712.353269,5,0,0,0,0,0,0,1,8,0,0
720.179834,3,0,0,0,0,0,0,0,10,10,0
721.133999,6,0,0,0,0,0,0,1,10,10,0
758.385507,2,0,0,0,0,0,0,0,9,6,1
759.002499,5,0,0,0,0,0,0,1,9,6,0
790.681319,5,0,0,0,0,0,0,0,10,9,0
791.488642,2,0,0,0,0,0,0,1,10,9,1
798.374614,6,0,0,0,0,0,0,0,9,5,0
798.934882,3,0,0,0,0,0,0,1,9,5,0
830.940276,3,0,0,0,0,0,0,0,9,4,0
831.458029,6,0,0,0,0,0,0,1,9,4,0
853.211696,3,0,0,0,0,0,0,0,10,8,0
853.907359,6,0,0,0,0,0,0,1,10,8,0
856.178911,5,0,0,0,0,0,0,0,9,3,0
856.658411,2,0,0,0,0,0,0,1,9,3,1
860.001472,6,0,0,0,0,0,0,0,11,11,0
860.999263,3,0,0,0,0,0,0,1,11,11,0
874.150328,3,0,0,0,0,0,0,0,9,2,0
874.616427,6,0,0,0,0,0,0,1,9,2,0
